Claim_ID,Claim_Name,Category,Description
C_Sensitive_Teeth,Sensitive Teeth,Marketing,
C_Anti-Cavity,Anti-Cavity,Marketing,
C_Gum_Care,Gum Care,Marketing,
C_Tartar_Control,Tartar Control,Marketing,
C_Plaque_Removal,Plaque Removal,Marketing,
C_Fresh_Breath,Fresh Breath,Marketing,
C_Enamel_Repair,Enamel Repair,Marketing,
C_Whitening,Whitening,Marketing,
C_Kids,Kids,Marketing,
C_Charcoal,Charcoal,Marketing,
C_Herbal,Herbal,Marketing,
C_Antibacterial/Antiplaque,Antibacterial/Antiplaque,Marketing,
C_Sensitivity_Relief,Sensitivity Relief,Marketing,
