Product_ID,Product_Name,Brand_ID,Category_ID,Target_Audience,Data_Quality_Score,Completeness_Score,Source_URL,Collection_Date,Verification_Status,Confidence
COL001,Total Clean Mint,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL002,Total Active Prevention Whitening Gel,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL003,Total Active Prevention Sensitivity Mineral Shield,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL004,Total Plaque Pro Release Whitening Gel,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL005,Optic White Advanced,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL006,Optic White Renewal,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL007,Max Fresh Cool Mint,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL008,Cavity Protection Great Regular Flavor,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL009,Sensitive Enamel Health,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL010,Baking Soda and Peroxide Whitening,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL011,Kids Cavity Protection Strawberry Burst,B_51355bb6,CAT_1,Kids,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL012,Kids Unicorn Academy,B_51355bb6,CAT_1,Kids,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL013,Revitalizing White Activated Charcoal,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL014,Total Whitening,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
COL015,Zero Fluoride-Free,B_51355bb6,CAT_1,Adult,100,100,https://www.colgate.com/en-us/products/toothpaste,2026-07-17,Verified,High
CRE001,Pro-Health Clean Mint,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE002,Pro-Health + Scope,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE003,3D White Brilliance,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE004,3D White Whitening Therapy,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE005,Pro-Health Gum Detoxify,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE006,Pro-Health Gum & Sensitivity,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE007,Cavity Protection Regular,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE008,Complete Whitening + Scope,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE009,Baking Soda & Peroxide Whitening,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE010,Kids Sparkle Cavity Protection,B_fab5ad8b,CAT_1,Kids,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE011,Kids Sugar & Bacteria Shield,B_fab5ad8b,CAT_1,Kids,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE012,Kids Color Changing,B_fab5ad8b,CAT_1,Kids,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE013,Charcoal,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE014,Scope Active Fresh Whitening,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
CRE015,Pro-Health Advanced,B_fab5ad8b,CAT_1,Adult,100,100,https://crest.com/en-us/oral-care-products/toothpaste,2026-07-17,Verified,High
ORB001,3D White Luxe,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB002,Pro-Expert Multi-Protection,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB003,Pro-Expert Sensitive,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB004,Gum & Enamel Repair,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB005,Cavity Defense,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB006,3D White Detoxify,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB007,Pro-Expert Whitening,B_ab04317f,CAT_1,Adult,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
ORB008,Kids Toothpaste Disney,B_ab04317f,CAT_1,Kids,100,100,https://oralb.com/en-us/products/toothpaste,2026-07-17,Verified,High
SEN001,Repair & Protect,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN002,Repair & Protect Whitening,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN003,Pronamel Daily Protection,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN004,Pronamel Gentle Whitening,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN005,Pronamel Intensive Enamel Repair,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN006,Rapid Relief,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN007,Rapid Relief Extra Fresh,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN008,Complete Protection,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN009,Extra Whitening,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN010,Clinical White,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN011,Sensitivity & Gum,B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
SEN012,Fresh Mint (Original),B_e64e8410,CAT_1,Adult,100,100,https://www.sensodyne.com/en-us/products/,2026-07-17,Verified,High
PAR001,Complete Protection,B_142be5e1,CAT_1,Adult,100,100,https://www.parodontax.com/en-us/products/,2026-07-17,Verified,High
PAR002,Extra Fresh,B_142be5e1,CAT_1,Adult,100,100,https://www.parodontax.com/en-us/products/,2026-07-17,Verified,High
PAR003,Whitening,B_142be5e1,CAT_1,Adult,100,100,https://www.parodontax.com/en-us/products/,2026-07-17,Verified,High
PAR004,Daily Gum Care,B_142be5e1,CAT_1,Adult,100,100,https://www.parodontax.com/en-us/products/,2026-07-17,Verified,High
PAR005,Active Gum Repair,B_142be5e1,CAT_1,Adult,100,100,https://www.parodontax.com/en-us/products/,2026-07-17,Verified,High
PAR006,Gum Health & Sensitivity,B_142be5e1,CAT_1,Adult,100,100,https://www.parodontax.com/en-us/products/,2026-07-17,Verified,High
AQU001,Triple Protection,B_8ce5cc76,CAT_1,Adult,100,100,https://www.aquafresh.com/en-us/our-products/,2026-07-17,Verified,High
AQU002,Extreme Clean Whitening,B_8ce5cc76,CAT_1,Adult,100,100,https://www.aquafresh.com/en-us/our-products/,2026-07-17,Verified,High
