Product_ID,Certification_ID,Certification_Date
COL015,CERT_1,
COL015,CERT_2,
SEN001,CERT_2,
SEN002,CERT_2,
SEN003,CERT_2,
SEN004,CERT_2,
SEN005,CERT_2,
SEN006,CERT_2,
SEN007,CERT_2,
SEN008,CERT_2,
SEN009,CERT_2,
SEN010,CERT_2,
SEN011,CERT_2,
SEN012,CERT_2,
TOM001,CERT_1,
TOM001,CERT_2,
TOM002,CERT_1,
TOM002,CERT_2,
TOM003,CERT_1,
TOM003,CERT_2,
TOM004,CERT_1,
TOM004,CERT_2,
TOM005,CERT_1,
TOM005,CERT_2,
TOM006,CERT_1,
TOM006,CERT_2,
TOM007,CERT_1,
TOM007,CERT_2,
TOM008,CERT_1,
TOM008,CERT_2,
TOM009,CERT_1,
TOM009,CERT_2,
TOM010,CERT_1,
TOM010,CERT_2,
HEL001,CERT_1,
HEL001,CERT_2,
HEL002,CERT_1,
HEL002,CERT_2,
HEL003,CERT_1,
HEL003,CERT_2,
HEL004,CERT_1,
HEL004,CERT_2,
HEL005,CERT_1,
HEL005,CERT_2,
HEL006,CERT_1,
HEL006,CERT_2,
HEL007,CERT_1,
HEL007,CERT_2,
GUM001,CERT_1,
GUM001,CERT_2,
DRB001,CERT_1,
DRB001,CERT_2,
DRB002,CERT_1,
DRB002,CERT_2,
DRB003,CERT_1,
DRB003,CERT_2,
DAV001,CERT_1,
DAV001,CERT_2,
DAV002,CERT_1,
DAV002,CERT_2,
DAV003,CERT_1,
DAV003,CERT_2,
DAV004,CERT_1,
DAV004,CERT_2,
BOK001,CERT_2,
BOK002,CERT_2,
BOK003,CERT_2,
BOK004,CERT_2,
