Product ID,Brand,Product Name,Nano-hydroxyapatite,Hydroxyapatite,Potassium Nitrate,Arginine,Xylitol,CPC,Chlorhexidine,Baking Soda,Activated Charcoal,Essential Oils,Titanium Dioxide,Artificial Colors,Artificial Sweeteners,Alcohol-Free,Recyclable Packaging,Plastic-Free Packaging,Subscription Available,Basis
COL001,Colgate,Total Clean Mint,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL002,Colgate,Total Active Prevention Whitening Gel,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL003,Colgate,Total Active Prevention Sensitivity Mineral Shield,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL004,Colgate,Total Plaque Pro Release Whitening Gel,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL005,Colgate,Optic White Advanced,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL006,Colgate,Optic White Renewal,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL007,Colgate,Max Fresh Cool Mint,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL008,Colgate,Cavity Protection Great Regular Flavor,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL009,Colgate,Sensitive Enamel Health,No / not indicated,No / not indicated,Yes (confirmed),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL010,Colgate,Baking Soda and Peroxide Whitening,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),Yes (named in product),No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL011,Colgate,Kids Cavity Protection Strawberry Burst,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL012,Colgate,Kids Unicorn Academy,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL013,Colgate,Revitalizing White Activated Charcoal,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,Yes,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL014,Colgate,Total Whitening,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
COL015,Colgate,Zero Fluoride-Free,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (Colgate-Palmolive HDPE recyclable tube rollout, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE001,Crest,Pro-Health Clean Mint,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE002,Crest,Pro-Health + Scope,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE003,Crest,3D White Brilliance,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE004,Crest,3D White Whitening Therapy,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE005,Crest,Pro-Health Gum Detoxify,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE006,Crest,Pro-Health Gum & Sensitivity,No / not indicated,No / not indicated,No (stannous fluoride used as desensitizer instead),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
CRE007,Crest,Cavity Protection Regular,No / not indicated,No / not indicated,No (not a sensitivity-relief line),Not confirmed,Not confirmed,No (not typical for toothpaste; mainly used in mouthwash),No (prescription-only ingredient; not found in OTC lines listed),No / not indicated,No,No / uses synthetic flavoring,Likely Yes (standard opacifier in conventional paste),Not confirmed,Likely Yes (saccharin common in mainstream formulas),"Yes (alcohol is a mouthwash ingredient, not typically used in toothpaste)","Yes (P&G HDPE recyclable tube rollout in NA/EU, confirmed)",No / standard plastic tube,No direct brand subscription (retail-only),See OralAtlas README tab → 'Advanced Features methodology' for how each column was determined (confirmed vs. inferred).
