Product ID,Brand,Product Name,Parent Company,Category,Brush Type,Pressure Sensor,App Connectivity,Country/Region,Last Updated,Source
ETORB001,Oral-B,iO Series 10,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating (Magnetic Drive),Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB002,Oral-B,iO Series 9,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating (Magnetic Drive),Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB003,Oral-B,iO Series 7,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating (Magnetic Drive),Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB004,Oral-B,iO Series 4,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating (Magnetic Drive),Yes,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB005,Oral-B,Pro 1000 CrossAction,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating-Pulsating,Yes,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB006,Oral-B,Pro 5000 SmartSeries,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating-Pulsating,Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB007,Oral-B,Genius X,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating-Pulsating,Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETORB008,Oral-B,Vitality FlossAction,Procter & Gamble,Electric Toothbrush,Oscillating-Rotating,No,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCOL001,Colgate,360 Sonic Power Toothbrush,Colgate-Palmolive,Electric Toothbrush,Sonic,No,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCOL002,Colgate,hum by Colgate Smart Toothbrush,Colgate-Palmolive,Electric Toothbrush,Sonic,No,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCOL003,Colgate,Optic White Sonic Toothbrush,Colgate-Palmolive,Electric Toothbrush,Sonic,No,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCOL004,Colgate,Total Battery Powered Toothbrush,Colgate-Palmolive,Electric Toothbrush,Battery Vibrating,No,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCOL005,Colgate,Kids Minecraft Battery Toothbrush,Colgate-Palmolive,Electric Toothbrush,Battery Vibrating,No,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETPHI001,Philips Sonicare*,DiamondClean Smart 9300,Philips,Electric Toothbrush,Sonic,Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETPHI002,Philips Sonicare*,Prestige 9900 with SenseIQ,Philips,Electric Toothbrush,Sonic,Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETPHI003,Philips Sonicare*,ProtectiveClean 6100,Philips,Electric Toothbrush,Sonic,Yes,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETPHI004,Philips Sonicare*,ProtectiveClean 4100,Philips,Electric Toothbrush,Sonic,Yes,No,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETPHI005,Philips Sonicare*,ExpertClean 7300,Philips,Electric Toothbrush,Sonic,Yes,Yes,USA,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCUR001,Curaprox,Hydrosonic Pro,Curaden,Electric Toothbrush,Sonic,Yes,No,Switzerland,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
ETCUR002,Curaprox,Hydrosonic Easy,Curaden,Electric Toothbrush,Sonic,No,No,Switzerland,2026-07-17,"Official brand sites (oralb.com, colgate.com, philips.com), Forbes/Techgearlab reviews, July 2026"
